name,refcount
libposix-strftime-compiler-perl,163
node-negotiator,12
liblomiri-thumbnailer-qt-dev,1
cpp-12-mips64el-linux-gnuabi64,35
iputils-tracepath,4
libglobus-gass-transfer-doc,1
python-xmlschema-doc,1
golang-github-mcuadros-go-version-dev,1
libtest-without-module-perl,1
oaklisp,1
libghc-directory-prof-1.3.6.2-311c9,127
librust-usb-disk-probe-dev,1
libghc-digest-prof-0.0.1.3-dc5fc,3
node-d3-axis,7
libreoffice-l10n-as,3
libgnat-11-mips64el-cross,2
pasystray,10
libpcc-dev,2
ivy-debian-helper,1
libtest-www-mechanize-mojo-perl,1
r-cran-latticeextra,32
librust-async-std-1+default-dev,6
libsleef-dev,1
c-sig,1
libptime-ocaml-dev,1
libghc-keys-prof,1
librust-regex+unicode-dev,3
libghc-unixutils-prof,1
mathlibtools,1
apertium-es-it,1
node-xmldom,4
libdune-grid-glue-dev,1
golang-github-rickb777-plural-dev,2
fonts-prociono,1
mate-common,1
r-cran-ksamples,2
python3-pyperclip,260
rime-data-cangjie5,5
libsexplib-ocaml,1
liblldb-15,4
tryton-modules-account-statement-coda,2
golang-github-jedisct1-go-dnsstamps-dev,1
python3-designate-dashboard,1
fcitx-unikey,1
multimon-ng,1
python3-trollsched,2
libobjc-12-dev-alpha-cross,5
infernal,3
plasma-settings,2
oxygen-icon-theme,1
fonts-tomsontalks,1
libcontext-preserve-perl,46
rear-doc,1
libexpat-ocaml-dev,1
profnet-snapfun,1
python3-cliapp,5
libghc-polyparse-prof,1
python3-amp,1
libignition-math-dev,14
libsynthesis0v5,16
libobject-container-perl,1
libxerces-c-samples,1
irqbalance,1
python3-pure-sasl,149
debian-installer-12-netboot-ppc64el,1
gfortran-12-multilib-powerpc64-linux-gnu,2
gir1.2-ayatanaappindicator3-0.1,11
python-taskflow-doc,1
libn32go-12-dev-mips64el-cross,3
r-cran-fassets,2
libaxc-dev,1
python3-socks,16
cylc-flow,1
libkf5syntaxhighlighting-data,137
qt3d-defaultgeometryloader-plugin,17
librust-bcder-dev,2
joy2key,1
libogdi4.1,383
cloop-utils,1
pacemaker,10
libtermkey-dev,2
tdiary-core,6
sword-text-sparv,1
php-horde-alarm,24
libghc-mutable-containers-dev,2
remmina-plugin-exec,1
libraritan-rpc-perl,1
linuxlogo,1
openbox-dev,1
libcatalyst-view-tt-perl,6
python-odoorpc-doc,1
hdmi2usb-udev,2
python3-pyqtgraph,15
node-boom,2
r-bioc-ballgown,1
libgit-annex-perl,1
puppet-module-duritong-sysctl,8
libpam-poldi,1
librust-unix-socket-dev,1
powerdebug,1
libkmlxsd1,14
libgphobos-12-dev-mipsel-cross,5
libgccjit-11-dev,1
rosbash,1
ydotool,1
postgresql-15-periods,1
pavucontrol-qt,4
giggle-personal-details-plugin,1
ytfzf,1
golang-github-spf13-afero-dev,51
syrthes,3
galileo,2
pushpin,1
kde-telepathy-auth-handler,3
cloud-utils,3
libclamav-dev,1
node-ansistyles,1
libedata-cal-2.0-2,28
newsboat,1
libnetcdff-doc,1
librust-wayland-client-0.29+dlopen-dev,5
z8530-utils2,1
libasync-http-client-java,1
debian-edu-artwork-homeworld,1
libboost-math1.81.0,3
wmweather+,1
python3-jack-client,2
libdist-zilla-plugin-podweaver-perl,1
librust-assert-cmd-dev,1
libopenmm7.7,23
scala-xml,4
rkdeveloptool,1
r-bioc-qusage,1
libmodbus-dev,1
qcoro-qt6-dev,1
libclass-pluggable-perl,1
sysuser-helper,19
elpa-devscripts,2
ruby-axiom-types,2
lomiri-indicator-transfer,2
python-xraylarch-doc,1
libcache-memcached-libmemcached-perl,1
golang-github-alcortesm-tgz-dev,1
libgfortran-11-dev-armhf-cross,2
minetest-mod-unifieddyes,2
libserialport0,16
golang-github-creack-goselect-dev,3
imediff,1
python3-mbed-ls,4
libmoox-buildargs-perl,1
node-is-negated-glob,7
libqgis-analysis3.22.16,17
libghc-lucid-svg-doc,1
network-manager-openvpn-gnome,1
yodl-doc,1
git-merge-changelog,1
glogic,1
libmoo-perl,480
libjim0.81,6
ruby-android-key-attestation,2
librust-gtk-sys-0.14+v3-22-26-dev,1
libghc-managed-dev,2
libdvdread-dev,3
libstring-glob-permute-perl,1
yaru-theme-unity,1
libtest-needs-perl,1
traildb-cli,1
libwpg-0.3-3,54
python3-junit.xml,4
libsyntax-highlight-engine-kate-perl,4
perdition-ldap,1
libsnmp40,139
android-logtags-tools,1
zookeeperd,1
libgtkpod-dev,1
libros-rosgraph-msgs-dev,76
tuxguitar-jsa,1
pacman-package-manager,1
libgm2-12-dev-mips64r6-cross,3
uvcdynctrl-data,2
ruby-exception-notification,1
libclass-accessor-grouped-perl,42
libt3config0,11
libdata-yaml-perl,1
cwm,1
python3-sword,1
libctf-nobfd0,1928
dt-utils,1
libpdl-io-hdf5-perl,1
ruby-peek-rblineprof,1
libjack-jackd2-0,1373
node-has-gulplog,2
golang-gopkg-alexcesaro-quotedprintable.v3-dev,1
voms-mysql-plugin,1
node-cheerio,1
liblambda-term-ocaml-hbvc5,3
freecdb,1
libghc-ormolu-doc,1
librust-quantiles-dev,1
libjcommon-java-doc,1
coinst,1
libinireader0,4
libaxmlrpc-java,3
a2ps,2
golang-github-agtorre-gocolorize-dev,2
forensics-samples-ext4,2
libghc-gi-cairo-dev-1.0.27-b2edf,12
roary,1
golang-github-pion-randutil-dev,11
fortunes-es-off,1
libopenblas-serial-dev,1
solaar-gnome3,1
screengrab,1
libghc-input-parsers-doc,1
r-cran-fontawesome,101
libio-compress-lzma-perl,2
bitwise,1
libjaba-client-java,2
openvswitch-common,11
libnginx-mod-http-perl,6
qtwebview5-doc,2
omins,1
python3-pysnmp4-mibs,3
libqt6quicktest6,10
tthsum,1
libffmpeg-nvenc-dev,2
librust-async-stream-impl-0.3.4+default-dev,1
libtest-exception-lessclever-perl,2
fonts-lohit-deva-nepali,1
librust-grep-regex-0.1+default-dev,1
kodi-pvr-filmon,1
elpa-dired-rsync,1
pokerth,1
gxmessage,1
lib64objc-12-dev-powerpc-cross,5
python3-pyte,4
mono-dbg,1
gobjc++-11-multilib-mipsel-linux-gnu,1
codec2-examples,1
getty-run,2
gnome-weather,2
r-cran-sys,115
ros-roscpp-msg,25
zita-lrx,1
xserver-xorg-video-neomagic,1
node-mkdirp,46
libgnunetgtk3,4
libpfs2,7
apertium-swe-dan,1
libghc-edit-distance-prof,1
libgd-perl,32
libghc-copilot-prettyprinter-dev-3.13-91705,4
qt6-image-formats-plugin-pdf,2
ros-robot-state-publisher,1
libdata-uuid-mt-perl,2
libtyperep-ocaml-dev,1
libid3-tools,2
tack,1
calypso,1
libnewt0.52,89
libjs-spin.js,28
libfontforge4,11
python3-unidecode,46
ruby-toml-rb,1
libpostgresql-jdbc-java-doc,1
libiodbc2,4
extractpdfmark,1
task-estonian-kde-desktop,1
lua-soap,1
libcrypt-dh-perl,1
worklog,1
freerdp2-shadow-x11,1
poretools-data,1
libsimtkmolmodel-plugins,1
python3-cursive,24
python3-stomp,2
libghc-boxes-dev,2
liboscar4-java,2
apertium-apy,1
lcl-utils-2.2,6
golang-github-docker-notary-dev,1
librust-trust-dns-proto-0.22+dns-over-native-tls-dev,2
dh-rebar,1
mupen64plus-audio-sdl,4
librust-tokio-1+sync-dev,25
libfp16-dev,1
libcrypt-jwt-perl,4
nescc,1
libghc-th-compat-prof-0.1.4-b1054,4
timekpr-next,1
