name,refcount
python-ply,12
libreoffice-still-nso,1
qt5-webglplugin,1
dragonfly-reverb,1
haskell-commutative-semigroups,9
libreoffice-fresh-mr,1
haskell-toml-parser,10
xcursor-themes,1
qjackctl,1
blas64-openblas,2
openmpi-docs,1
terminus-font,2
kodi-platform,3
python-aniso8601,3
texlive-langfrench,1
libwebpmux.so,158
libinih,108
sslsplit,1
ranger,1
libmysofa,1
espflash,1
smbnetfs,1
libdeflate,852
libreoffice-fresh-fy,1
python-agate-excel,2
bluedevil,3
meson-python,1
rpg-cli,1
moosefs,1
package-notes,1
check,3
libpangomm-1.4.so,27
xwax,1
calligra,1
python-dom-toml,4
libssh,634
python-mitmproxy-rs,3
repgrep,1
cpanminus,1
alligator,3
xfce4-time-out-plugin,1
python-geopandas,1
ponyc,1
mpop,1
dino,1
python-patsy,2
lua52,53
libxkbfile,334
firefox-developer-edition-i18n-sat,1
guetzli,1
plasma-workspace,14
haskell-generic-data,7
qemu-guest-agent,1
python-html2text,6
gunicorn,6
python-llfuse,2
lua51-std-normalize,1
xautolock,1
ibus-unikey,1
opensearch-dashboards-maps-plugin,1
libcalfbox-lss,4
dash,1
perl-data-hierarchy,1
python-elasticsearch,1
lib32-libindicator-gtk3,1
gnome-text-editor,1
libeditline.so,4
hunspell-es_py,1
deepin-clipboard,1
python-pdm,1
function2,1
frei0r-plugins,8
btrfs-heatmap,1
ttf-junicode,1
libformw.so,13
avogadro-molecules,6
umoci,1
portaudio,705
python-cython-lint,1
python-pysol_cards,2
python-apispec,2
python-venusian,1
python-mysqlclient,1
python-publicsuffix2,6
llvm14-libs,5
nuget,1
lemurs,1
python-myst-parser,1
ocaml-compiler-libs,12
startdde,20
haskell-ipython-kernel,2
splint,1
go-md2man,1
libwebpdemux.so,87
perl-datetime-format-w3cdtf,3
qqwing,2
github-cli,1
haskell-tasty-checklist,1
ioping,1
perl-http-message,76
gambas3-gb-image-effect,2
spawn-fcgi,1
heh,1
cardinal,1
perl-try-tiny,94
python-flask-marshmallow,1
python-pyarrow,1
xsv,1
haskell-css-text,11
python-toposort,2
avr-gdb,1
firefox-developer-edition-i18n-ur,1
libreoffice-fresh-my,1
accountsservice,79
qt6-httpserver,4
python-sphinx-inline-tabs,1
lib32-gettext,8
caligula,1
capnet-assist,1
perl-ipc-run,4
ruby-fcntl,1
gifski,1
haskell-pandoc-types,13
pipewire-ffado,1
ruby-connection_pool,2
python-pook,1
haskell-data-hash,3
xca,1
libportal,28
python-h5py,9
libpg_query,1
lib32-flac,18
python-xmljson,1
qhttpengine,2
python-pyflakes,7
python-authres,4
haskell-hxt-unicode,2
luarocks,1
openjdk17-src,1
eom,1
perl-clone,90
rocfft,13
knotifications,243
archlinux-wallpaper,1
thunderbird-i18n-gd,1
qemu-chardev-baum,2
lua52-dbi,1
ruby-csv,1
go-swagger,1
thrift,8
haskell-lattices,2
java-xmlgraphics-commons,3
gnome-color-manager,3
libreoffice-still-ta,1
cpp-hocon,4
jwt-cli,1
llvm,17
python-ciso8601,1
gulp,1
python-ipympl,1
mpv-mpris,1
libreoffice-fresh-ar,1
lib32-libxcb,89
python-pydot,8
kpimtextedit5,3
abduco,1
python-digitalocean,2
python-xdg,10
libreoffice-fresh-sv,1
opentoonz,1
python-reflink,1
thunderbird-i18n-bg,1
ruby-chronic,1
mate-notification-daemon,1
dkms,15
haskell-call-stack,137
libtool,182
dragon,3
ts-node,1
vamps,1
python-pynvim,1
ksshaskpass,2
libkscreen,37
haskell-ini,4
wishbone-utils,1
wmname,1
haskell-concurrent-extra,3
nltk-data,1
kjobwidgets5,111
haskell-recv,33
ruby-rubytest,3
perl-module-manifest,2
java-avalon-framework,2
haskell-test-framework-leancheck,1
python-pytest-expect,1
python-greenlet,45
hunspell-nl,1
lnav,1
vulkan-utility-libraries,1
libpeas-2-docs,1
man-pages,1
xarchiver-gtk2,1
perl-devel-globaldestruction,18
nim,1
libxfce4util,54
libprotobuf.so,36
ruby-etc,1
haskell-lifted-base,43
kactivities-stats5,1
gnome-shell-extension-weather-oclock,1
coqide,1
shotgun,1
python-fastimport,1
laptop-detect,1
firefox-i18n-kn,1
rygel,1
rhvoice-voice-anatol,1
firefox-developer-edition-i18n-id,1
kmines,3
pacmanlogviewer,1
pcp-pmda-snmp,1
libimobiledevice,394
qemu-block-curl,4
cargo-nextest,1
wev,1
libsysstat,1
liblowdown.so,4
python-genshi,1
libcapstone.so,8
unrar-free,1
ruby-build-environment,2
riscv64-elf-gcc,1
lua-cldr,2
openjdk17-doc,1
adobe-source-han-serif-cn-fonts,1
ocrdesktop,1
jnettop,1
perl-log-any-adapter-log4perl,2
opencl-clover-mesa,2
python-xkbcommon,2
qqc2-desktop-style5,2
opensearch-anomaly-detection-plugin,1
lib32-libidn11,2
haskell-cabal-doctest,1
sof-firmware,1
lua52-inifile,1
python-numpydoc,2
tinyprog,1
vim-spell-tl,1
libdnf,2
haskell-src-exts-simple,1
haskell-fmlist,8
tachyon,4
haskell-postgresql-simple,2
or1k-elf-gcc,1
ctop,1
firefox-developer-edition,104
rhvoice,47
rink,1
libreoffice-still-sa-in,1
nss,1311
texlive-luatex,2
ecl,6
lsp-plugins-standalone,2
liteide,1
sbt,1
python-overrides,18
haskell-fsnotify,4
sequoia-wot,1
yass,1
python-nethsm,1
buho,1
pdfjs-legacy,1
firefox-developer-edition-i18n-trs,1
ruby-mixlib-cli,2
osm-gps-map,2
python-pathable,4
lua-luaepnf,2
skktools,1
nushell,1
libredefender,1
meek,1
haskell-barbies,6
perl-class-factory-util,1
opensearch-reports-scheduler-plugin,1
pimcommon,29
ttf-monaspace-variable,1
pam,5457
aarch64-linux-gnu-gcc,2
stk,5
python-pytorch-opt-rocm,1
libprocps,5
libssh-docs,1
ruby-timecop,1
pyside6,13
python-fido2,5
python-systemd,4
lib32-vulkan-intel,1
haskell-containers-unicode-symbols,1
wine-nine,1
node-gyp,6
python-easyprocess,2
libxpm,270
python-dpcontracts,1
perl-crypt-blowfish,1
thunderbird-i18n-eu,1
python-mupdf,2
python-babelfish,2
haskell-reinterpret-cast,1
mruby,1
deepin-application-manager,13
python-mdx-video,1
mbox-importer,4
perl-test-subcalls,1
d-mir-core,2
ghex,1
knotifyconfig5,18
nfacct,1
gst-plugins-ugly,6
libreoffice-fresh-sw-tz,1
sdl_image,19
haskell-cabal-install-parsers,2
phosh,2
dht,1
orc,619
libxcomposite,1401
ttf-inconsolata-lgc-nerd,1
libreoffice-fresh-lo,1
deluge-gtk,1
argocd,1
mime-types,279
intel-oneapi-dpcpp-cpp,1
kdsingleapplication,4
libpq.so,4
ruby-cri,2
lablgtk3,1
lua51-filesystem,11
btrbk,1
gambas3-gb-web,3
smb4k,1
pyright,1
haskell-numinstances,2
flac-doc,1
libretro-citra,1
lua52-luajson,4
bear,2
ldoc,1
moserial,1
perl-error,77
nm-connection-editor,5
python-geoip,3
perl-publicinbox,2
libreoffice-fresh-cy,1
spice,12
epiphany,1
haskell-placeholders,1
rinutils,1
libgit2-glib-docs,1
texlive-langarabic,1
gjs,24
visitors,1
sdl2_mixer,25
kplotting,5
python-readability-lxml,2
python-shippinglabel,3
secrets,1
hub,1
quassel-client-qt,1
perl-net-ssleay,22
perl-test-most,1
libreoffice-still-zu,1
ibus-rime,1
perl-mime-lite,3
pybind11,34
thunderbird-i18n-zh-tw,1
xorg-xwininfo,2
geckodriver,1
xfmpc,1
memtester,1
rage-encryption,1
nginx-mod-ndk,2
diskonaut,1
libhoel.so,1
tesseract-data-bel,1
man-pages-ru,1
libnettle.so,55
gnome-shell-docs,1
kapman,3
xorg-xset,1589
mpdecimal,4256
kdepim-addons,3
gnome-terminal,1
libprotobuf-c.so,9
totem,1
libxml2-docs,1
inxi,1
kiwix-tools,1
uasm,1
dnsmasq,4
pypy,2
python-pyct,2
perl-io-all,1
python-asteval,1
indicator-china-weather,1
checkbashisms,1
python-osprofiler,1
libedit.so,142
perl-module-build,4
xcursor-vanilla-dmz,1
libmikmod.so,1
haskell-postgresql-libpq,10
prometheus-wireguard-exporter,1
perl-html-tableextract,1
lilv,27
ecryptfs-utils,2
gambas3-gb-chart,1
docparser,3
pocl,1
libjpeg,2500
libdns_sd.so,2
python-rzpipe,1
python-paho-mqtt,1
libreoffice-fresh-ga,1
libgphoto2_port.so,29
python-tlsh,5
avr-libc,3
minder,1
ruby-delegate,1
python-grpcio,14
anthy,4
haskell-skylighting,9
postfwd,1
tamarin-prover,1
qemu-hw-display-qxl,4
